9315,48431460
4170,48431466
9491,48431468
9784,48431472
1050,48431475
7437,48431479
6841,48431482
6783,48431485
4251,48431424
2005,48431427
9470,48431430
2354,48431433
3436,48431436
5517,48431439
9027,48431442
9250,48431445
4984,48431449
3344,48431452
1984,48431455
1005,48431458
9073,48431525
5128,48431529
3750,48431532
9495,48431535
5313,48431538
5740,48431542
4613,48431545
9204,48431549
6423,48431488
9853,48431491
6215,48431494
9817,48431498
9298,48431501
4514,48431504
6760,48431507
9181,48431510
9906,48431513
9585,48431517
9499,48431521
7075,48431589
9734,48431592
9667,48431596
3014,48431599
1369,48431602
1098,48431605
9964,48431610
3560,48431613
5473,48431552
5807,48431556
6685,48431559
4987,48431562
3334,48431565
1997,48431568
1080,48431571
6361,48431575
6779,48431578
9744,48431581
9165,48431585
9717,48431652
3077,48431656
9809,48431660
6580,48431666
1091,48431670
1571,48431673
9604,48431676
2220,48431616
2492,48431619
2023,48431622
7683,48431629
6349,48431635
5573,48431638
9009,48431641
9856,48431645
9392,48431648
6954,48431719
6615,48431722
9733,48431726
2078,48431729
5495,48431733
6186,48431736
4176,48431740
9950,48431743
5719,48431682
9452,48431686
5725,48431689
9046,48431693
9425,48431697
1065,48431701
1043,48431704
9316,48431708
3016,48431712
6184,48431782
5263,48431785
4299,48431788
4729,48431792
9860,48431795
9440,48431799
1788,48431803
8360,48431806
9209,48431745
1071,48431749
9003,48431753
4489,48431757
9727,48431760
5971,48431764
6177,48431767
4611,48431771
3542,48431775
4508,48431778
5696,48431846
4084,48431853
9321,48431855
2273,48431859
5786,48431863
9554,48431870
4716,48431809
5302,48431812
5709,48431816
9622,48431820
3524,48431823
6636,48431827
6064,48431830
1353,48431834
3153,48431837
6771,48431841
6340,48431909
1038,48431913
2003,48431916
6784,48431920
6603,48431923
1096,48431927
6218,48431931
8616,48431934
9621,48431873
6128,48431878
1350,48431882
6609,48431886
8114,48431889
6893,48431893
1029,48431896
9364,48431900
9300,48431903
9307,48431971
3629,48431975
4776,48431980
3871,48431983
7194,48431986
9088,48431990
9532,48431993
6565,48431996
3511,48431936
4722,48431939
6544,48431942
9704,48431945
9206,48431948
9531,48431952
9830,48431955
6432,48431959
6396,48431962
6780,48431965
9395,48431968
6145,48432041
6467,48432044
8049,48432047
6144,48432056
5214,48432062
9108,48432001
5470,48432004
5746,48432007
6635,48432013
3943,48432018
4823,48432021
9636,48432031
6542,48432033
